Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
14389,Hyundai Santro,Hyundai,Santro,9,55324,Dealer,Petrol,Manual,17.92,1086,62.1,5,200000
6203,Skoda Octavia,Skoda,Octavia,6,99000,Dealer,Diesel,Automatic,19.3,1968,141.0,5,1399000
18625,Volkswagen Polo,Volkswagen,Polo,5,49000,Dealer,Petrol,Manual,16.2,1199,74.0,5,575000
15681,Hyundai i20,Hyundai,i20,4,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,590000
9063,Hyundai Grand,Hyundai,Grand,3,7245,Dealer,Petrol,Manual,18.9,1197,81.86,5,425000
13490,Hyundai i20,Hyundai,i20,8,64735,Dealer,Diesel,Manual,21.9,1396,88.76,5,325000
373,Maruti Swift Dzire,Maruti,Swift Dzire,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
14625,Volkswagen Polo,Volkswagen,Polo,3,54495,Dealer,Diesel,Manual,20.14,1498,88.0,5,538000
11143,Volkswagen Polo,Volkswagen,Polo,2,36800,Dealer,Diesel,Manual,20.14,1498,88.0,5,675000
11947,Maruti Celerio,Maruti,Celerio,5,2000,Dealer,Petrol,Automatic,23.1,998,67.04,5,466000
4563,Maruti Wagon R,Maruti,Wagon R,8,39757,Dealer,Petrol,Manual,20.51,998,67.04,5,298000
14893,Mahindra XUV500,Mahindra,XUV500,3,31324,Dealer,Diesel,Manual,16.0,2179,140.0,7,1685000
7286,Maruti Ertiga,Maruti,Ertiga,7,79000,Dealer,Diesel,Manual,25.47,1248,88.5,7,650000
7757,Tata Tiago,Tata,Tiago,3,50000,Individual,Diesel,Manual,27.28,1047,69.0,5,450000
2677,Maruti Alto,Maruti,Alto,8,60000,Individual,Petrol,Manual,22.74,796,47.3,5,180000
12186,Volkswagen Vento,Volkswagen,Vento,7,59484,Dealer,Petrol,Manual,15.04,1598,103.2,5,465000
2311,Hyundai i20,Hyundai,i20,5,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,540000
17932,Hyundai Creta,Hyundai,Creta,3,50000,Individual,Diesel,Manual,19.67,1582,126.2,5,1200000
15421,Renault Duster,Renault,Duster,8,120000,Individual,Diesel,Manual,19.01,1461,108.45,5,350000
2026,BMW 3,BMW,3,7,70400,Dealer,Diesel,Automatic,18.88,1995,184.0,5,2045000
1429,Maruti Swift,Maruti,Swift,4,55000,Dealer,Petrol,Manual,20.4,1197,83.11,5,450000
